gov_scr,lo_comments,mc_comments,motion,mo_comments,opp_scr,pm_comments,debate,file_path
"84
83","-Good iob- were structed al specific .
J you

‘Ye needed to explain points mare fully Ju

Sand was bad,Then left it them.

efficiency

- Conclusion was Theskreyent pot byar speech.
","- Excellent refutation. Good _ details

-But you needed to rebuild . That was

a problem. Bring the same rehutation
",AI,"-- You weretoo repetition. Almost evenity

you hadto say was about job loss al
poverty. The last two points were quick
and undeveloped The repetition was
problematic.

- You needed mas evidence Even hypatzetiich

med some grundy.
","83
85","-Good organization - It was hard to see

how it all fit into a singu, unified
case.
-Yu didn't defin enough. Pows on
al

mechanization wasn't effectue

advancent didn't Mean = anythyhere .
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page1\result.json
"83
84","work

* you

have .

word ;
on choice to
lend
move ~ thority
of flustered.
got
fee
work on hot feeling
that auxiety
a new sont to

cida
","strong logic + organization

but flat volume & for
much reading from the
paper
good wi Ao

6:30 of 8 minutes ,
","#1 increase
AI
LTA
net benefit","fine hut did

You begal
dexolas contentions ;
enough rekottal
and restated 3 fines
Same contentions

5 Q ee

not

not

the
","79
28","good sign posting

confections

and logic in
especialy in _ final
speec on dask
Spotty eye contact
Lf "" phenomencore
watch the um

14 +A
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page10\result.json
"83
87","govs

failure to address the

entry level job  Lesss

Try not to vely as much

real ji
benef

ting Foc

ab checking side Jovs
it is

ns more on crauxing
refubing

Time: 6:42

point of

on

point ,

the

your notes
net

debate
",""" ~Argumeht— :
‘gume on innovation

id doesn't but
side. goy.

""AS society evolves , Al will become
more important - excellent point,

3 _ good job pointing out side opps strawman

_"" Only the benefits of Al exist

falls into the trap of overgenerat

mischaracterizing

Time :(7 38 PO!

-good
","TH BT the increase in usage.
of AI
in the workforce
usage has a
net","-_ = wae

Allowed side gov. to. define Al as

ranything thab asec. ali algorithm — in any

capacity . This definition includes

computers and most other forms of

technology -

-strong opening statement

- Better Logic than side gov , andundesten

of roles.

Try to spend more time refuting side-
","84
82","slaves to ther jobs!

satisfaction -

1."" People are

- good point oh low job

-great signposting

: innovation
2.""Make Massive Leops. in

_ decent Logic, but try to think more ata
the impacts Of |
- Ask more POIS your side
Time : 3:37 -Crqux should be
values vs values
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page11\result.json
"79
84","the ""filler jobs"" Point. Strong

of evidence . The ""two
use
worlds "" tactic is an effective
tool for rebuttal , but you
Started tos too early. | needed
q more systematic walk through the

Fla
","anything but

Al not replacing
"" Simple "" jobs was un substantiated
claiming Something isn't the
Same 95 proving ycy
did 9 good job addressing everything
on the flow, but ycu otten
4

endelde ended up backtracking
","THBT the increased usage of AI
in
the
workplace","Look at the judge throughout

your speech , you seemed
to be looking art into
space. Good overall
Structure and 9 - ticulation
Be careful about making
claims

get too many.
","t8
98","frame the debate before

you go Inte your contentions .
Don't feel that yen need
to accept every POI .

This can interrupt the
flar of your speech

28 Be careful
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page12\result.json
踢82,"# olou evergy is great.
ou the debate Specifee - yourexemples
* Nice work keeping tent
_ clearly tO your Contentions
plugged '"" ye veour
Stake you iatorall More Clearly:

.__windener
that you're slotting

et seemedsometimes that doesn't

argument |"" way

int you to it bad forkawyers

work for example: why !s
quite ChatGPT ? I'm notconvinest aprofy that this
focu

lot of dignity .
CMOTPUT
","Good pont a a. I thought the
crror and 7
for herman distinguish between

4, here to
. amissed°PPortunity opponents onfleted

wa which Your other
Al and medines ° as 2 foot like any

. Al
to neneahere ""
inherent valumin movingest

an argument

move
4Savery

*} don't know

into the future

to explain
you'll Nave

vpyood sigapesting..

there's
that .

why the Past is Ped -
","тивт The
increr и лице
af ortifrueed intelligere","m

-Dig deepe into .

"" "" Sa
results have been not gradt"" say
you say
here!
try to Make more eye Contac
e
glue and would
i the creedster you he
e| like  ooolane

i degen
encoura eyou to diz
9 Al 'n more

repereations

; |
Try mone*!9NPosting
",84,"2 Youhave great spekry evezy. 1 mont

mm j tad !
recommend YOu slow down jush a
ee examples
C about relying °” historical P
e Careful | rou
industrial revolution: if YOu a
Cre, The they've

need © from that
ou'll

them a i Sourty:
had apoictive!MPact on eOMrry

«good Si9nposting !

gr
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page13\result.json
"85
86","Pol on diligence ‘ex’
: 8:02
diligent person who money _ like the MpSe

make progress (ok , admitted to school, but can
focus on studies as much as students who

don't need a job ?) Good layout of
ans but try to work on nerves, you're
uta logical case

Unclear how

part-time Job is beneficial since the © skills .

class who arguably already familiar doesn
this class who
","a Tal debt. ar
very fast! ial debt- are interest

rates decreasing or increasing ? Good counter

w/ military example ( state govs funding

Universities w/ tax payers more relevant eX.

Good focus on short v. long term

benefits healthcare insis , good point re:

generational poverty = promises of “American

dream "" reason. for jo bo creation unclear goo

example w/ obama_ ; great Pol: had time, even
Taking Pol,slow down in speaking to emphasiz
",THW forgive all student Joan debt.,"Opublic wealth Onegative economic impact

@ Student responsibility ; good opening
organization part -time jobs to pay loan
increase economy, good work experience ; cost

to tax payer - good moral point, but not
mentioned — in introduction , What is the
benefit of college educated part - time workers

rather than leaving those jobs to non corlege

: countries
grads ? Unclear - Bringing in other

many non- usnations

best argument -
","81
82","Dencourages schooling improves economy

good paintre : generational poverty , could be
fleshed out as a full contention (upper""

professions like doctor / NBA currently dass

restricted ) How would society improve w/socio

economic. diversity at top"" ?Good boulder analogy
and good Pols , good _ outline of conclusion,

pointing out fast food

missed opportunity
to working ‘Class

experience only going
Bades OD deliver even cl
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page14\result.json
"82
84","“Good — refutations
e oreall, and response to

pol . Stong speaking . The crux was good -

enjoyed use of individ valism vs collectivism .

would have prefered a little more organization

Some points were thrown in, but that's OK .

Chain of reasoning for economic argument

would've been nike too!.
","Good refutation & response to pol

Enjoyed hand gestmes & use of rhetoncal @s

Didn't continue your ist cont. explicitly

could benefit from more signposting ,

Also would've liked to see better

rebuilding of orguments 2 A
",THW forgive all student loan debt.,"Good sign posting & eye contact.

Could use a transition btwn refutation &
introduction . Your 3rd argument looked
like a counter - plan (presented as one) but
in reality was just the status quo. Luckily

Gov didn't point that out. Use of time &
","83
86","Opening : Good projection & introduction,

recognized time wasn't Up & anled

back. Had time topresent3rdl
Contention why leave it to me ?

Fi : ;
nal : Seemed to misunderstand resolution

overall very disorganized , missed some
main points-too idetail -orented.' JUST
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page16\result.json
"18
85","Great

speech
Organize refutation to
GOM'S contentions
Spend more time on
conclusions

crux /
","bood 5 peecu

refer to sides as"" you "" or "" pryll
rather than ""he ""or "" you'll
State

contentions aE ,
beginning

Loweigh

our
y VS opponent impacts
","THBt
the merease in usage of AI in the workforce has","Good speech,

work — on pointing out
impacts of — your res
to TH2

47

spend more time flashing
","ая
hs","Good points ,

work on organization / Roadmap

like
Sprend more of
Ist cort-
2nd Speech on
2nd cont:
supumery instead
3rd cont.

of rebuttal / rebuil
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page17\result.json
"84
84","3 you. hit great points, but could
work a bit on organization . Sett adecklist

of pomnik to hits provide a humap and

get througharguments [ by/

Try to fill the time were€excemples & elaboration

+ Great Job!
","smirenst about
contentions

> well spoken and your surgery by

was great ads of the statu que of the justice

werken links & organization
was right, abut the bias in

port, in statu quothen is bing mit |
",THBT the morease in usage of antreazed intelligence in the works face hay ant benefit,"+> Very well organizer

( you made your late clear
'S YOU stopped your speech at 3:50 for

an i
8 min speech, keep speaking

lve t
not examples elaborak, refute try to
fill yar time

For (3 ) | would have focused more on the

er i er i | ee oe ogg, TT
",83,"Sgreat organization and delivery
is | would am for a_ bit were of

acreatre intro

> Iddn't undentand your contenten )

,

' well th ht
wewn't aUper ougnt at

> arall, frontoytic speeches

For both :Opp
12.D
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page18\result.json
"路82
82","Good .Sood
Texpabout
Post leconomin

finding
good intro

egood bringing up

Chat GPT nicepiching
ndefiningA

v You had many good
points, but they were

dropped dueto lack of

Needs Improvements

PO|
¢misinterpretation of
topic, said ""increases
: Al robots

on taking over but |

e
point ves your

* didn't explain nuclear

bomb point ?
","Good .
Needs improvement

goodignposting #would like more
«good refustations eyecontact
bout etry to avoid fillers
""um""

ChatGpreference’ economycan be benefitted

goodevidenc&verall ple workfore makes up

th@conomy
","THBT the increase
Usage of
A
in
Al in the
work force
has
G
net
benefit","Need
Good Longgpech dmprovement
. ‘3rd world ""- don't
egreat intro
say that, saydévelopiri
*goodeyecontact(!) y ydévelopirig
would've liked to

- solid evidence
sesignposting

*good pacing
Speechnot longenougH!)

-more refutation! atkat

a little
","४०
83","Good @2min
*g00d points
egoodeyecontact
good pacing
ygoodsigmosting

egoodconclusion

speech solid ending

Needsimprovement

-would'v@enefitted

froman intro tocase

-NO NEW EVIDENCE,
in finadpeech you had

new info.
",2023StSebs-NOV-Rnd1,data/2023StSebs-NOV-Rnd1\2023StSebs-NOV-Rnd1_page19\result.json
